Date,PA,LINK,PETRO,CN,CITIC
17/5/2017,65.317535,11.262435,56.010387,5.194788,8.390035
18/5/2017,65.553337,11.243665,55.110813,5.155948,8.326198
19/5/2017,65.364693,11.281207,55.300201,5.107399,8.326198
22/5/2017,65.176048,11.356291,55.205505,5.165658,8.362675
23/5/2017,65.223213,11.393831,55.016117,5.175369,8.335317
24/5/2017,65.459023,11.412602,55.868351,5.165658,8.317078
25/5/2017,65.50618,11.412602,56.767925,5.185079,8.353556
26/5/2017,65.50618,11.487684,56.957314,5.136529,8.2806
29/5/2017,65.459023,11.543996,58.235653,5.107399,8.225882
31/5/2017,65.836311,11.600309,58.235653,5.03943,8.116446
1/6/2017,66.732361,11.506455,58.472385,5.02001,8.116446
2/6/2017,67.251129,11.487684,58.709114,5.02001,8.143805
5/6/2017,67.109642,11.543996,58.66177,5.0103,8.189403
6/6/2017,67.251129,11.656621,58.377693,4.981172,8.152924
7/6/2017,66.873833,11.844328,58.377693,4.971461,8.180283
8/6/2017,67.156799,11.806787,59.277267,4.952041,8.133485
9/6/2017,66.449394,11.769246,59.892769,4.932621,8.105406
12/6/2017,65.836311,11.61908,59.087883,4.884072,8.096046
13/6/2017,65.930626,11.675391,59.987457,4.903492,8.133485
14/6/2017,66.072113,11.637851,60.22419,4.894376,8.189643
15/6/2017,66.072113,11.53266,59.608692,4.835877,8.067967
16/6/2017,66.02494,11.666538,59.419304,4.845626,8.077328
19/6/2017,66.496552,11.857793,59.845421,4.845626,8.086688
20/6/2017,66.543709,11.800417,58.559052,4.796878,8.067967
21/6/2017,66.166428,11.704789,59.23436,4.73838,8.011811
22/6/2017,66.402237,11.666538,58.993179,4.71888,7.983732
23/6/2017,66.543709,11.513535,58.317867,4.72863,7.974373
26/6/2017,66.449394,11.53266,58.559052,4.748129,7.993091
27/6/2017,66.543709,11.456158,58.124924,4.70913,7.955653
28/6/2017,65.930626,11.379656,57.546085,4.71888,7.983732
29/6/2017,65.459023,11.379656,57.78727,4.70913,7.993091
30/6/2017,65.034561,11.226652,57.304901,4.660382,8.002451
3/7/2017,64.327164,11.28403,56.91901,4.650632,7.983732
4/7/2017,64.044197,11.131025,56.7743,4.777379,8.086688
5/7/2017,64.468643,11.111899,56.870773,4.816378,8.170924
6/7/2017,64.374321,10.997148,57.208427,4.757879,8.096046
7/7/2017,64.138519,10.93977,56.822536,4.71888,8.030529
10/7/2017,64.280006,10.997148,58.703758,4.650632,7.974373
11/7/2017,64.657295,11.054523,58.173157,4.660382,7.993091
12/7/2017,64.61013,11.131025,58.124924,4.670131,8.04925
13/7/2017,64.940254,11.341405,58.317867,4.70913,8.114766
14/7/2017,64.61013,11.264903,58.800232,4.757879,8.133485
17/7/2017,64.704437,11.207527,59.041416,4.757879,8.142845
18/7/2017,64.987411,11.188401,59.475544,4.787128,8.133485
19/7/2017,64.562958,11.264903,59.379066,4.826128,8.152205
20/7/2017,64.327164,11.111899,58.993179,4.816378,8.170924
21/7/2017,71.118301,11.264903,59.089649,4.787128,8.142845
24/7/2017,72.957565,11.303154,59.716724,4.777379,8.067967
25/7/2017,72.580276,11.32228,59.330833,4.777379,8.021171
26/7/2017,72.533119,11.398781,58.848469,4.923625,8.208364
27/7/2017,72.721756,11.341405,60.536747,4.943125,8.208364
28/7/2017,72.816078,11.303154,61.646183,4.904126,8.161565
31/7/2017,73.004723,11.360531,61.260292,4.904126,8.180284
1/8/2017,73.523491,11.264903,61.356762,4.952875,8.208364
2/8/2017,73.476334,11.264903,61.501472,4.894376,8.189643
3/8/2017,73.099045,11.341405,61.356762,4.884626,8.180284
4/8/2017,73.14621,11.417907,61.646183,4.894376,8.142845
7/8/2017,74.136581,11.704789,61.405003,4.894376,8.133485
8/8/2017,74.278061,11.685663,61.212055,4.913876,8.245801
9/8/2017,73.947937,11.609162,61.019108,4.874876,8.217722
10/8/2017,73.664978,11.398781,60.729691,4.865127,8.227081
11/8/2017,73.664978,11.207527,60.295559,4.806628,8.170924
14/8/2017,73.995102,11.131025,60.922638,4.826128,8.152205
15/8/2017,73.476334,11.035398,60.874397,4.73838,8.030529
16/8/2017,73.806458,11.226652,61.260292,4.748129,8.04925
17/8/2017,73.806458,11.111899,61.067345,4.699381,8.152205
18/8/2017,64.775925,10.882394,60.874397,4.670131,8.124125
21/8/2017,64.823563,10.882394,60.777927,4.73838,8.423633
22/8/2017,64.585419,11.245778,61.212055,4.73838,8.49851
23/8/2017,64.585419,11.245778,61.212055,4.73838,8.49851
24/8/2017,65.014084,11.150151,61.260292,4.699381,8.526588
25/8/2017,64.537781,11.28403,61.453239,4.874876,8.760577
28/8/2017,64.49015,11.360531,61.163818,4.874876,8.779297
29/8/2017,64.775925,11.570911,61.356762,4.855377,8.723139
30/8/2017,65.156967,11.417907,61.646183,4.894376,8.835455
31/8/2017,65.728516,11.49441,62.321491,4.874876,8.760577
1/9/2017,65.585632,11.456158,62.369728,4.933374,8.807376
4/9/2017,65.061707,11.303154,61.839127,4.923625,8.798017
5/9/2017,65.156967,11.28403,62.321491,4.904126,8.835455
6/9/2017,65.20459,11.150151,62.225018,4.894376,8.854175
7/9/2017,65.20459,11.150151,61.839127,4.890988,8.854175
8/9/2017,65.156967,11.28403,62.417961,4.920452,8.882859
11/9/2017,65.299858,11.360531,62.417961,4.91063,8.863736
12/9/2017,64.918823,11.32228,62.562672,4.930273,8.825489
13/9/2017,64.775925,11.341405,62.514439,4.900808,8.796803
14/9/2017,64.49015,11.27384,61.790894,4.881166,8.83505
15/9/2017,64.156746,11.312449,62.417961,4.861524,9.074094
18/9/2017,64.347267,11.466885,62.852093,4.871346,9.131464
19/9/2017,64.347267,11.408971,62.225018,4.841881,9.074094
20/9/2017,64.680679,11.408971,61.597946,4.822238,9.093218
21/9/2017,64.633041,11.27384,61.405003,4.822238,9.160151
22/9/2017,64.252007,11.158013,61.115582,4.792775,9.083656
25/9/2017,64.204376,11.003576,60.3438,4.743669,9.102779
26/9/2017,64.204376,11.003576,60.150848,4.91063,9.466125
27/9/2017,64.204376,11.138708,60.777927,4.920452,9.48525
28/9/2017,64.299637,11.080794,60.58498,4.822238,9.43744
29/9/2017,64.44252,11.138708,61.067345,4.861524,9.638237
